access,area,geometry,highway,key,landuse,lanes,length,name,oneway,osmid,ref,service,u,v
private,,"LINESTRING (-117.7092997 34.1029743, -117.7093041 34.1031631)",service,0,,,20.998,Amherst Avenue,False,13433612,,,3835445345,5366824647
private,,"LINESTRING (-117.7092997 34.1029743, -117.7093017 34.1026019, -117.7114799 34.1026228)",service,0,,,241.977,"['East 9th Street', 'Amherst Avenue']",False,"[13433612, 13441725]",,,3835445345,123586950
,,"LINESTRING (-117.7092997 34.1029743, -117.709206 34.1029669, -117.7090886 34.1029632, -117.7089395 34.1029669, -117.708682 34.1029782, -117.7084878 34.1029744, -117.7083297 34.1029782, -117.7082213 34.1029782, -117.7081161 34.1029855)",path,0,,,109.109,Quotation Walk,False,380203392,,,3835445345,3835445353
,,"LINESTRING (-117.7081591 34.1050973, -117.7082868 34.1051796, -117.7084439 34.1052653, -117.7085964 34.1053325)",residential,0,,,48.125,Platt Boulevard,True,34037087,,,2247762320,390040406
,,"LINESTRING (-117.7081591 34.1050973, -117.70794 34.1053309, -117.7079293 34.1055488)",footway,0,,,57.137,,False,215361430,,,2247762320,5257160046
,,"LINESTRING (-117.7052972 34.1052271, -117.7055049 34.1052296)",,0,,,19.125,Harvey Mudd College,False,34037202,,,2247762331,390044661
,,"LINESTRING (-117.7052972 34.1052271, -117.7055049 34.1052296)",,1,,,19.125,Pitzer College,False,289679061,,,2247762331,390044661
,,"LINESTRING (-117.7052972 34.1052271, -117.7043447 34.1052159)",,0,,,87.706,Harvey Mudd College,False,34037202,,,2247762331,390044660
,,"LINESTRING (-117.7052972 34.1052271, -117.7043447 34.1052159)",,1,,,87.706,Pitzer College,False,289679061,,,2247762331,390044660
,,"LINESTRING (-117.7125478 34.1055069, -117.7125509 34.1053941)",service,0,,,12.546,,False,150549875,,parking_aisle,2247762347,1634483882
,,"LINESTRING (-117.7125478 34.1055069, -117.7124774 34.1055068, -117.7124768 34.1057347, -117.7129356 34.1057355, -117.7129361 34.1055666, -117.7126086 34.1055661, -117.7126087 34.1055071, -117.7125478 34.1055069)",,0,,,135.167,,False,150549873,,,2247762347,2247762347
,,"LINESTRING (-117.7125478 34.1055069, -117.7126087 34.1055071, -117.7126086 34.1055661, -117.7129361 34.1055666, -117.7129356 34.1057355, -117.7124768 34.1057347, -117.7124774 34.1055068, -117.7125478 34.1055069)",,1,,,135.167,,False,150549873,,,2247762347,2247762347
,,"LINESTRING (-117.7071645 34.1055588, -117.7071615 34.1051532)",footway,0,,,45.102,,False,215361428,,,2247762350,5035084309
,,"LINESTRING (-117.7071645 34.1055588, -117.7071558 34.1058332)",footway,0,,,30.522,,False,215361428,,,2247762350,4803161994
,,"LINESTRING (-117.7071645 34.1055588, -117.7070158 34.1055416)",footway,0,,,13.824,,False,487927967,,,2247762350,4803162011
,,"LINESTRING (-117.7071645 34.1055588, -117.7074012 34.1055634, -117.7074471 34.1056678, -117.7075101 34.1057153, -117.7075932 34.1057224, -117.707662 34.1057224, -117.7076907 34.1057224)",footway,0,,,58.666000000000004,,False,215361431,,,2247762350,2247762374
,,"LINESTRING (-117.7142892 34.1036977, -117.7142941 34.1043997)",service,0,,,78.06,,False,351457962,,alley,3695878577,3695878578
,,"LINESTRING (-117.7142941 34.1043997, -117.7139111 34.1044011)",residential,0,,,35.264,Drucker Way,False,13350339,,,3695878578,3701747043
,,"LINESTRING (-117.7142941 34.1043997, -117.7149387 34.1043973)",residential,0,,,59.35,Drucker Way,False,13350339,,,3695878578,122960743
,,"LINESTRING (-117.7142941 34.1043997, -117.7142892 34.1036977)",service,0,,,78.06,,False,351457962,,alley,3695878578,3695878577
,,"LINESTRING (-117.7142941 34.1043997, -117.714277 34.1053912)",service,0,,,110.261,,False,351457962,,alley,3695878578,123211395
