highway,osmid,x,y,geometry
,5326481411,-117.7037585,34.1049333,POINT (-117.7037585 34.1049333)
,5259487244,-117.7105098,34.1038156,POINT (-117.7105098 34.1038156)
,5259487245,-117.7105138,34.1033108,POINT (-117.7105138 34.1033108)
,5259487246,-117.710661,34.1038866,POINT (-117.710661 34.1038866)
,5259487247,-117.7061546,34.1033975,POINT (-117.7061546 34.1033975)
,5259487249,-117.7057943,34.1033941,POINT (-117.7057943 34.1033941)
,660557847,-117.7044312,34.102601,POINT (-117.7044312 34.102601)
,5259487258,-117.7058622,34.1033948,POINT (-117.7058622 34.1033948)
,5259487259,-117.7052468,34.1030418,POINT (-117.7052468 34.1030418)
,5259487260,-117.7050964,34.1029912,POINT (-117.7050964 34.1029912)
,5259487261,-117.7050897,34.102624,POINT (-117.7050897 34.102624)
,5259487262,-117.7045057,34.1029905,POINT (-117.7045057 34.1029905)
,5259487263,-117.7071383,34.10151,POINT (-117.7071383 34.10151)
,5368754213,-117.7048812,34.1048265,POINT (-117.7048812 34.1048265)
,5368754216,-117.7049134,34.1049429,POINT (-117.7049134 34.1049429)
,5368754217,-117.704964,34.1048276,POINT (-117.704964 34.1048276)
,1337872429,-117.7093173,34.1064551,POINT (-117.7093173 34.1064551)
,5259487278,-117.7061002,34.1020571,POINT (-117.7061002 34.1020571)
,5259487279,-117.7063059,34.1019143,POINT (-117.7063059 34.1019143)
,1337872446,-117.7060477,34.1066772,POINT (-117.7060477 34.1066772)
,1337872449,-117.7093031,34.1070825,POINT (-117.7093031 34.1070825)
,5259487303,-117.703988,34.1007989,POINT (-117.703988 34.1007989)
,5259487309,-117.7038512,34.1009116,POINT (-117.7038512 34.1009116)
,5259487313,-117.7038505,34.1006562,POINT (-117.7038505 34.1006562)
,5259487315,-117.7087797,34.1006324,POINT (-117.7087797 34.1006324)
,660557908,-117.7044418,34.1025229,POINT (-117.7044418 34.1025229)
,5259487317,-117.7087516,34.1008767,POINT (-117.7087516 34.1008767)
,5259487318,-117.708588,34.0999111,POINT (-117.708588 34.0999111)
,5259487319,-117.7084532,34.0999116,POINT (-117.7084532 34.0999116)
,582817882,-117.7110773,34.0961335,POINT (-117.7110773 34.0961335)
,5370843227,-117.7139573,34.1016364,POINT (-117.7139573 34.1016364)
,5370843228,-117.7139604,34.1018554,POINT (-117.7139604 34.1018554)
,5370843231,-117.7139628,34.1020264,POINT (-117.7139628 34.1020264)
,5370843232,-117.7149324,34.1024384,POINT (-117.7149324 34.1024384)
,3835445345,-117.7092997,34.1029743,POINT (-117.7092997 34.1029743)
,3835445353,-117.7081161,34.1029855,POINT (-117.7081161 34.1029855)
,5370843244,-117.7149326,34.1027849,POINT (-117.7149326 34.1027849)
,123396206,-117.7156776,34.0976267,POINT (-117.7156776 34.0976267)
,5370843246,-117.7131906,34.1040766,POINT (-117.7131906 34.1040766)
stop,123396209,-117.7164046,34.0976295,POINT (-117.7164046 34.0976295)
,5370843250,-117.7121301,34.1043997,POINT (-117.7121301 34.1043997)
,5370843249,-117.7131915,34.104242,POINT (-117.7131915 34.104242)
,5370843253,-117.7116406,34.1043978,POINT (-117.7116406 34.1043978)
,5258487941,-117.7076084,34.102124,POINT (-117.7076084 34.102124)
,5258487942,-117.7076098,34.1020276,POINT (-117.7076098 34.1020276)
,5258487943,-117.7071686,34.1020488,POINT (-117.7071686 34.1020488)
,5258487944,-117.7071375,34.1017789,POINT (-117.7071375 34.1017789)
,5258487946,-117.7072651,34.1018568,POINT (-117.7072651 34.1018568)
,5258487947,-117.708051,34.1015847,POINT (-117.708051 34.1015847)
,5258487953,-117.7080819,34.1008463,POINT (-117.7080819 34.1008463)
,5258487954,-117.7085754,34.1008463,POINT (-117.7085754 34.1008463)
,5258487959,-117.7086585,34.1011761,POINT (-117.7086585 34.1011761)
,5258487964,-117.7085754,34.1014293,POINT (-117.7085754 34.1014293)
,5257162932,-117.7053419,34.1044689,POINT (-117.7053419 34.1044689)
,5257162934,-117.7053279,34.1037699,POINT (-117.7053279 34.1037699)
,5257162935,-117.7070244,34.1037766,POINT (-117.7070244 34.1037766)
,5257162936,-117.7053187,34.1043407,POINT (-117.7053187 34.1043407)
,5257162938,-117.7054043,34.1042508,POINT (-117.7054043 34.1042508)
,122607803,-117.7059151,34.0995964,POINT (-117.7059151 34.0995964)
,5257162941,-117.7056229,34.1041986,POINT (-117.7056229 34.1041986)
,5257162943,-117.7057903,34.104205,POINT (-117.7057903 34.104205)
stop,371251392,-117.7126252,34.1011969,POINT (-117.7126252 34.1011969)
,5257162945,-117.7057835,34.1045796,POINT (-117.7057835 34.1045796)
,5257162946,-117.7053215,34.1041674,POINT (-117.7053215 34.1041674)
,5257162948,-117.7055384,34.1042071,POINT (-117.7055384 34.1042071)
