highway,osmid,x,y,geometry
,3835445345,-117.7092997,34.1029743,POINT (-117.7092997 34.1029743)
,2247762320,-117.7081591,34.1050973,POINT (-117.7081591 34.1050973)
,2247762331,-117.7052972,34.1052271,POINT (-117.7052972 34.1052271)
,2247762347,-117.7125478,34.1055069,POINT (-117.7125478 34.1055069)
,2247762350,-117.7071645,34.1055588,POINT (-117.7071645 34.1055588)
,3695878577,-117.7142892,34.1036977,POINT (-117.7142892 34.1036977)
,3695878578,-117.7142941,34.1043997,POINT (-117.7142941 34.1043997)
,2247762359,-117.7079228,34.1056821,POINT (-117.7079228 34.1056821)
,2247762374,-117.7076907,34.1057224,POINT (-117.7076907 34.1057224)
,2247762377,-117.7078482,34.1059223,POINT (-117.7078482 34.1059223)
,2247762378,-117.7079314,34.1059377,POINT (-117.7079314 34.1059377)
,2247762380,-117.7083643,34.1059431,POINT (-117.7083643 34.1059431)
,2247762382,-117.7085851,34.1059448,POINT (-117.7085851 34.1059448)
,2247762384,-117.7088008,34.1059475,POINT (-117.7088008 34.1059475)
,2247762386,-117.7090525,34.1059483,POINT (-117.7090525 34.1059483)
,2247762388,-117.7091626,34.1059489,POINT (-117.7091626 34.1059489)
,2247762390,-117.709414,34.1059417,POINT (-117.709414 34.1059417)
,2247762392,-117.7098177,34.1059521,POINT (-117.7098177 34.1059521)
,2247762394,-117.7102209,34.1059562,POINT (-117.7102209 34.1059562)
,2247762396,-117.708364,34.1061618,POINT (-117.708364 34.1061618)
,2247762398,-117.7085847,34.1061645,POINT (-117.7085847 34.1061645)
,2247762400,-117.7087938,34.1061671,POINT (-117.7087938 34.1061671)
,2247762402,-117.7090477,34.1061703,POINT (-117.7090477 34.1061703)
,2247762404,-117.709157,34.1061716,POINT (-117.709157 34.1061716)
,2247762406,-117.7097223,34.1061906,POINT (-117.7097223 34.1061906)
,2247762408,-117.7098082,34.1061941,POINT (-117.7098082 34.1061941)
,2247762410,-117.7099188,34.1061923,POINT (-117.7099188 34.1061923)
,5259526677,-117.7124225,34.1062503,POINT (-117.7124225 34.1062503)
,5259526678,-117.7124172,34.1065318,POINT (-117.7124172 34.1065318)
,5258514317,-117.7052918,34.1048373,POINT (-117.7052918 34.1048373)
,5258514318,-117.7052382,34.1048368,POINT (-117.7052382 34.1048368)
,5258514319,-117.7056654,34.1037712,POINT (-117.7056654 34.1037712)
,5258514320,-117.7056654,34.1038357,POINT (-117.7056654 34.1038357)
,123568747,-117.7093628,34.0996617,POINT (-117.7093628 34.0996617)
,4789174917,-117.7056423,34.1064767,POINT (-117.7056423 34.1064767)
,123568800,-117.7093367,34.1046379,POINT (-117.7093367 34.1046379)
,123568815,-117.7093168,34.1037155,POINT (-117.7093168 34.1037155)
,390038256,-117.711149,34.0975615,POINT (-117.711149 34.0975615)
,390038259,-117.711203,34.0976092,POINT (-117.711203 34.0976092)
,5257162936,-117.7053187,34.1043407,POINT (-117.7053187 34.1043407)
,5257162938,-117.7054043,34.1042508,POINT (-117.7054043 34.1042508)
,4646290442,-117.7124697,34.099171,POINT (-117.7124697 34.099171)
,3835445353,-117.7081161,34.1029855,POINT (-117.7081161 34.1029855)
,5366823856,-117.7061867,34.1042006,POINT (-117.7061867 34.1042006)
,5366823857,-117.7061891,34.1045755,POINT (-117.7061891 34.1045755)
,5366823858,-117.7061835,34.1040196,POINT (-117.7061835 34.1040196)
,5366823859,-117.7063525,34.1041992,POINT (-117.7063525 34.1041992)
,6062834783,-117.7037102,34.1025076,POINT (-117.7037102 34.1025076)
,4683252832,-117.7030179,34.1068432,POINT (-117.7030179 34.1068432)
,6062834784,-117.7037042,34.1025897,POINT (-117.7037042 34.1025897)
,5366823861,-117.70627,34.1038233,POINT (-117.70627 34.1038233)
,5259501131,-117.7045218,34.1044674,POINT (-117.7045218 34.1044674)
,5366823862,-117.7064675,34.1029888,POINT (-117.7064675 34.1029888)
,122807409,-117.7149342,34.1053853,POINT (-117.7149342 34.1053853)
,-39822,-117.71309316127,34.1029224094,POINT (-117.71309316127 34.1029224094)
,-39818,-117.71309986845,34.10173520829,POINT (-117.71309986845 34.10173520829)
,-39816,-117.71310120955,34.10156197126,POINT (-117.71310120955 34.10156197126)
,3701747050,-117.7139139,34.105172,POINT (-117.7139139 34.105172)
,5366823867,-117.7071401,34.1008227,POINT (-117.7071401 34.1008227)
,-39802,-117.71156430379,34.10169745153,POINT (-117.71156430379 34.10169745153)
,-39800,-117.71138600157,34.10167954369,POINT (-117.71138600157 34.10167954369)
,-39798,-117.71143542574,34.10269902081,POINT (-117.71143542574 34.10269902081)
,-39796,-117.71139532462,34.10256252129,POINT (-117.71139532462 34.10256252129)
,-39786,-117.71137923136,34.10172188238,POINT (-117.71137923136 34.10172188238)
,-39784,-117.71140963766,34.10153173105,POINT (-117.71140963766 34.10153173105)
,-39782,-117.7110198064,34.10157652829,POINT (-117.7110198064 34.10157652829)
,-39780,-117.71101588539,34.10067083752,POINT (-117.71101588539 34.10067083752)
,-39778,-117.711892882,34.10082281603,POINT (-117.711892882 34.10082281603)
,-39776,-117.71189151455,34.10096467964,POINT (-117.71189151455 34.10096467964)
,-39774,-117.71167156982,34.10096440129,POINT (-117.71167156982 34.10096440129)
,-39768,-117.71237835422,34.10061804529,POINT (-117.71237835422 34.10061804529)
,-39766,-117.71238639945,34.10082331931,POINT (-117.71238639945 34.10082331931)
,-39764,-117.71199748054,34.10075574808,POINT (-117.71199748054 34.10075574808)
,-39762,-117.71199747973,34.1008229227,POINT (-117.71199747973 34.1008229227)
,-39760,-117.71186875638,34.10061525038,POINT (-117.71186875638 34.10061525038)
,-39758,-117.71186885168,34.10061361469,POINT (-117.71186885168 34.10061361469)
,-39756,-117.71185666562,34.1008227791,POINT (-117.71185666562 34.1008227791)
,-39754,-117.71146372095,34.10082237839,POINT (-117.71146372095 34.10082237839)
,-39752,-117.71145949965,34.10068359661,POINT (-117.71145949965 34.10068359661)
,-39750,-117.71147322598,34.10069356682,POINT (-117.71147322598 34.10069356682)
,-39746,-117.71104663745,34.10067134962,POINT (-117.71104663745 34.10067134962)
,-39744,-117.71104261413,34.10042148526,POINT (-117.71104261413 34.10042148526)
,-39740,-117.71235418995,34.10027322396,POINT (-117.71235418995 34.10027322396)
,-39738,-117.71235691834,34.1004455402,POINT (-117.71235691834 34.1004455402)
,-39736,-117.71204035882,34.10027510915,POINT (-117.71204035882 34.10027510915)
,-39734,-117.71204307631,34.10044669351,POINT (-117.71204307631 34.10044669351)
,-39732,-117.71180035308,34.10044758547,POINT (-117.71180035308 34.10044758547)
,5366823881,-117.7066394,34.1005779,POINT (-117.7066394 34.1005779)
,-39730,-117.7116622167,34.10013132099,POINT (-117.7116622167 34.10013132099)
,-39726,-117.71255811466,34.10027199899,POINT (-117.71255811466 34.10027199899)
,-39724,-117.71255672112,34.10044480596,POINT (-117.71255672112 34.10044480596)
,-39720,-117.71255269781,34.10082348889,POINT (-117.71255269781 34.10082348889)
,-39706,-117.71044806151,34.10157762209,POINT (-117.71044806151 34.10157762209)
,5366823887,-117.7068993,34.1011227,POINT (-117.7068993 34.1011227)
,-39698,-117.70928742526,34.1015963972,POINT (-117.70928742526 34.1015963972)
,-39696,-117.71046504036,34.10087597231,POINT (-117.71046504036 34.10087597231)
,-39692,-117.71045353297,34.10087595939,POINT (-117.71045353297 34.10087595939)
,-39686,-117.71033724953,34.1008123717,POINT (-117.71033724953 34.1008123717)
,-39684,-117.70972833171,34.10146091616,POINT (-117.70972833171 34.10146091616)
,5366823891,-117.7055466,34.1008341,POINT (-117.7055466 34.1008341)
,-39680,-117.71044714677,34.1016154234,POINT (-117.71044714677 34.1016154234)
,5366823892,-117.7058584,34.100745,POINT (-117.7058584 34.100745)
,-39674,-117.71052645706,34.10066268727,POINT (-117.71052645706 34.10066268727)
,-39672,-117.71055042878,34.10066357607,POINT (-117.71055042878 34.10066357607)
,5366823893,-117.70586,34.1006295,POINT (-117.70586 34.1006295)
,-39660,-117.71033719316,34.10081904688,POINT (-117.71033719316 34.10081904688)
,-39654,-117.71013200417,34.10070910684,POINT (-117.71013200417 34.10070910684)
,-39652,-117.71013066307,34.10088345612,POINT (-117.71013066307 34.10088345612)
,-39650,-117.70975917712,34.10088678764,POINT (-117.70975917712 34.10088678764)
,-39640,-117.70933620237,34.10065134061,POINT (-117.70933620237 34.10065134061)
,-39638,-117.70974156976,34.10055587625,POINT (-117.70974156976 34.10055587625)
,-39636,-117.70973235686,34.09973430797,POINT (-117.70973235686 34.09973430797)
,-39634,-117.71130417,34.10009742639,POINT (-117.71130417 34.10009742639)
,-39632,-117.71128938237,34.09973529012,POINT (-117.71128938237 34.09973529012)
,-39630,-117.71119816276,34.10009596244,POINT (-117.71119816276 34.10009596244)
,-39628,-117.71119550307,34.0997352309,POINT (-117.71119550307 34.0997352309)
,-39626,-117.71222948879,34.09980900376,POINT (-117.71222948879 34.09980900376)
,-39624,-117.71222681388,34.09973588143,POINT (-117.71222681388 34.09973588143)
,-39622,-117.70719900861,34.09954639892,POINT (-117.70719900861 34.09954639892)
,-39620,-117.712566107,34.09973609545,POINT (-117.712566107 34.09973609545)
,-39616,-117.71297246129,34.09958733422,POINT (-117.71297246129 34.09958733422)
,-39614,-117.71263806888,34.09950864333,POINT (-117.71263806888 34.09950864333)
,-39612,-117.7127283825,34.09950530962,POINT (-117.7127283825 34.09950530962)
,-39610,-117.71272972228,34.09958694581,POINT (-117.71272972228 34.09958694581)
,-39608,-117.71273642819,34.09973620289,POINT (-117.71273642819 34.09973620289)
,-39606,-117.70936303313,34.09973407501,POINT (-117.70936303313 34.09973407501)
,-39604,-117.71374092985,34.10057992175,POINT (-117.71374092985 34.10057992175)
,-39602,-117.71391927422,34.10057903526,POINT (-117.71391927422 34.10057903526)
,-39600,-117.71399973345,34.10016908302,POINT (-117.71399973345 34.10016908302)
,-39598,-117.71400111085,34.10057862847,POINT (-117.71400111085 34.10057862847)
,-39596,-117.71438597787,34.10057671541,POINT (-117.71438597787 34.10057671541)
,-39594,-117.71462874929,34.10057550866,POINT (-117.71462874929 34.10057550866)
,-39592,-117.71478429571,34.10057473549,POINT (-117.71478429571 34.10057473549)
,-39588,-117.71480893312,34.09918546675,POINT (-117.71480893312 34.09918546675)
,-39586,-117.71402746873,34.09896892039,POINT (-117.71402746873 34.09896892039)
,5257160033,-117.7112716,34.1062162,POINT (-117.7112716 34.1062162)
,5257160035,-117.7111047,34.1062136,POINT (-117.7111047 34.1062136)
,5257160037,-117.7109464,34.1062111,POINT (-117.7109464 34.1062111)
,-39578,-117.71401047841,34.09896892582,POINT (-117.71401047841 34.09896892582)
,-39576,-117.71384161371,34.09897114635,POINT (-117.71384161371 34.09897114635)
,-39574,-117.71318778097,34.09905777072,POINT (-117.71318778097 34.09905777072)
,5257160042,-117.710583,34.1062048,POINT (-117.710583 34.1062048)
,5257160044,-117.7103443,34.1062003,POINT (-117.7103443 34.1062003)
,-39570,-117.71384136422,34.09893451257,POINT (-117.71384136422 34.09893451257)
,5257160047,-117.7085922,34.1055576,POINT (-117.7085922 34.1055576)
,-39568,-117.71318764251,34.09893894213,POINT (-117.71318764251 34.09893894213)
,5257160043,-117.7105736,34.1067217,POINT (-117.7105736 34.1067217)
