access,geometry,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,u,v
,"LINESTRING (-117.7037585 34.1049333, -117.7037344 34.1049489, -117.7036888 34.1049566, -117.7036459 34.10495, -117.7036164 34.1049133, -117.703603 34.1048756, -117.7036191 34.1048445, -117.7036486 34.1048201, -117.7036901 34.1048145, -117.703729 34.1048156)",footway,0,,35.446,,,False,551541821,,,5326481411,5326481407
,"LINESTRING (-117.7037585 34.1049333, -117.7037827 34.1049133, -117.703788 34.1048678, -117.7037639 34.1048345, -117.703729 34.1048156)",footway,1,,16.387999999999998,,,False,551541821,,,5326481411,5326481407
,"LINESTRING (-117.7037585 34.1049333, -117.7037612 34.1051165, -117.7036482 34.1051821, -117.7035535 34.1056247, -117.7036505 34.1056433)",footway,0,,92.226,,,False,"[556348964, 551541822]",,,5326481411,5366824714
,"LINESTRING (-117.7105098 34.1038156, -117.7106613 34.103816)",footway,0,,13.949,,,False,544090137,,,5259487244,5257214336
,"LINESTRING (-117.7105098 34.1038156, -117.7101091 34.1038132)",footway,0,,36.894,,,False,556547145,,,5259487244,5368746449
,"LINESTRING (-117.7105098 34.1038156, -117.710513 34.1034075, -117.7105138 34.1033108)",footway,0,,56.133,,,False,544090137,,,5259487244,5259487245
,"LINESTRING (-117.7105138 34.1033108, -117.7104069 34.1033114)",footway,0,,9.843,,,False,543840925,,,5259487245,5257230632
,"LINESTRING (-117.7105138 34.1033108, -117.71081 34.1033093)",footway,0,,27.272,,,False,543840925,,,5259487245,5257214339
,"LINESTRING (-117.7105138 34.1033108, -117.710513 34.1034075, -117.7105098 34.1038156)",footway,0,,56.133,,,False,544090137,,,5259487245,5259487244
,"LINESTRING (-117.710661 34.1038866, -117.7106613 34.103816)",footway,0,,7.85,,,False,543840923,,,5259487246,5257214336
,"LINESTRING (-117.710661 34.1038866, -117.7106585 34.1043731)",footway,0,,54.097,,,False,543840923,,,5259487246,5257214329
,"LINESTRING (-117.710661 34.1038866, -117.7101084 34.1038846)",footway,0,,50.879,,,False,544090140,,,5259487246,5257213516
,"LINESTRING (-117.710661 34.1038866, -117.7108723 34.1038954)",footway,0,,19.479,,,False,544090141,,,5259487246,5257230639
,"LINESTRING (-117.7061546 34.1033975, -117.7061784 34.1033976)",footway,0,,2.191,,,False,544090144,,,5259487247,5258514840
,"LINESTRING (-117.7061546 34.1033975, -117.7058622 34.1033948)",footway,0,,26.924,,,False,544090146,,,5259487247,5259487258
,"LINESTRING (-117.7061546 34.1033975, -117.7061552 34.1033397, -117.706119 34.1033392, -117.7060734 34.1033392, -117.7060198 34.1033425, -117.7059467 34.1033486, -117.7058951 34.1033558, -117.7058756 34.1033592, -117.7058656 34.1033708, -117.7058615 34.1033808, -117.7058622 34.1033948)",footway,1,,36.643,,,False,"[544090144, 544090148]",,,5259487247,5259487258
,"LINESTRING (-117.7057943 34.1033941, -117.7057948 34.1034526)",footway,0,,6.505,,,False,543987970,,,5259487249,5258514859
,"LINESTRING (-117.7057943 34.1033941, -117.7057941 34.103366)",footway,0,,3.125,,,False,543987970,,,5259487249,5258514858
,"LINESTRING (-117.7057943 34.1033941, -117.7058622 34.1033948)",footway,0,,6.252,,,False,544090146,,,5259487249,5259487258
,"LINESTRING (-117.7044312 34.102601, -117.7044418 34.1025229)",service,0,,8.739,,,False,51758203,,,660557847,660557908
,"LINESTRING (-117.7044312 34.102601, -117.7044305 34.1026744, -117.7044176 34.1039998, -117.7044194 34.1042215)",service,0,,180.198,,,False,51758203,,,660557847,5326481403
permissive,"LINESTRING (-117.7044312 34.102601, -117.7048227 34.1026082, -117.7048763 34.1026028, -117.7049406 34.1025917, -117.7051686 34.1025517, -117.7052437 34.1025451, -117.7053135 34.1025406, -117.7058392 34.1025517, -117.7059197 34.1025628, -117.7059397 34.1025672)",unclassified,0,,139.773,,East 9th Street,True,644755106,,,660557847,5258514899
,"LINESTRING (-117.7058622 34.1033948, -117.7057943 34.1033941)",footway,0,,6.252,,,False,544090146,,,5259487258,5259487249
,"LINESTRING (-117.7058622 34.1033948, -117.7061546 34.1033975)",footway,0,,26.924,,,False,544090146,,,5259487258,5259487247
,"LINESTRING (-117.7058622 34.1033948, -117.7058615 34.1033808, -117.7058656 34.1033708, -117.7058756 34.1033592, -117.7058951 34.1033558, -117.7059467 34.1033486, -117.7060198 34.1033425, -117.7060734 34.1033392, -117.706119 34.1033392, -117.7061552 34.1033397, -117.7061546 34.1033975)",footway,1,,36.642999999999994,,,False,"[544090144, 544090148]",,,5259487258,5259487247
,"LINESTRING (-117.7052468 34.1030418, -117.7052483 34.1030545, -117.7052617 34.1030923, -117.7052859 34.1031067, -117.7053163 34.10312)",footway,0,,11.71,,,False,543987982,,,5259487259,5258514934
,"LINESTRING (-117.7052468 34.1030418, -117.7053435 34.1030439, -117.7053167 34.1031045, -117.7053163 34.10312)",footway,1,,17.807,,,False,"[543987975, 544090151]",,,5259487259,5258514934
,"LINESTRING (-117.7052468 34.1030418, -117.7052443 34.1030212, -117.7052349 34.1029912, -117.7050964 34.1029912)",footway,0,,18.5,,,False,543987982,,,5259487259,5259487260
,"LINESTRING (-117.7050964 34.1029912, -117.7048755 34.1029912)",footway,0,,20.339,,,False,543987982,,,5259487260,5258514928
,"LINESTRING (-117.7050964 34.1029912, -117.7050897 34.102624)",footway,0,,40.835,,,False,544090153,,,5259487260,5259487261
,"LINESTRING (-117.7050964 34.1029912, -117.7052349 34.1029912, -117.7052443 34.1030212, -117.7052468 34.1030418)",footway,0,,18.5,,,False,543987982,,,5259487260,5259487259
,"LINESTRING (-117.7050897 34.102624, -117.7050964 34.1029912)",footway,0,,40.835,,,False,544090153,,,5259487261,5259487260
,"LINESTRING (-117.7045057 34.1029905, -117.7048755 34.1029912)",footway,0,,34.049,,,False,544090156,,,5259487262,5258514928
,"LINESTRING (-117.7071383 34.10151, -117.7071375 34.1017789)",footway,0,,29.9,,,False,34036042,,,5259487263,5258487944
,"LINESTRING (-117.7071383 34.10151, -117.70714 34.100846)",footway,0,,73.834,,,False,34036042,,,5259487263,5366823884
,"LINESTRING (-117.7071383 34.10151, -117.7067353 34.1018878, -117.706699 34.101865, -117.7066602 34.1018472, -117.7066152 34.101835, -117.7065663 34.1018306, -117.7065193 34.1018278, -117.7064637 34.101835, -117.706406 34.1018456, -117.7063638 34.1018689, -117.7063155 34.1019061, -117.7063059 34.1019143)",footway,0,,100.19499999999998,,,False,544090157,,,5259487263,5259487279
,"LINESTRING (-117.7048812 34.1048265, -117.704964 34.1048276)",footway,0,,7.624,,,False,556548183,,,5368754213,5368754217
,"LINESTRING (-117.7048812 34.1048265, -117.7048591 34.1048598, -117.7048544 34.1048754, -117.7049134 34.1049429)",footway,0,,15.278,,,False,556548182,,,5368754213,5368754216
,"LINESTRING (-117.7048812 34.1048265, -117.7048799 34.104791, -117.7048691 34.104739, -117.7048536 34.1047085, -117.7048355 34.1046813, -117.7048067 34.1046557, -117.7047926 34.1046363, -117.7047671 34.1046241, -117.7047356 34.1046191)",footway,0,,29.021,,,False,"[556192166, 556548182]",,,5368754213,5365357405
,"LINESTRING (-117.7049134 34.1049429, -117.7049625 34.1049429)",footway,0,,4.521,,,False,543987956,,,5368754216,5366824958
,"LINESTRING (-117.7049134 34.1049429, -117.7047351 34.1049431)",footway,0,,16.416,,,False,543987956,,,5368754216,5366824947
,"LINESTRING (-117.7049134 34.1049429, -117.7048544 34.1048754, -117.7048591 34.1048598, -117.7048812 34.1048265)",footway,0,,15.278,,,False,556548182,,,5368754216,5368754213
,"LINESTRING (-117.704964 34.1048276, -117.7049625 34.1049429)",footway,0,,12.822,,,False,556348978,,,5368754217,5366824958
,"LINESTRING (-117.704964 34.1048276, -117.7048812 34.1048265)",footway,0,,7.624,,,False,556548183,,,5368754217,5368754213
,"LINESTRING (-117.704964 34.1048276, -117.7049659 34.1046828, -117.7049156 34.1046822, -117.7049179 34.1046313, -117.7049156 34.1044681)",footway,0,,44.54600000000001,,,False,"[556348977, 556348978]",,,5368754217,5366824956
,"LINESTRING (-117.7093173 34.1064551, -117.7093173 34.1065603)",service,0,,11.698,,,False,119010939,,,1337872429,5259515539
,"LINESTRING (-117.7061002 34.1020571, -117.7062397 34.1020605, -117.7062437 34.1020149, -117.7062585 34.1019688, -117.7062793 34.1019372, -117.7063059 34.1019143)",footway,0,,30.773,,,False,544090157,,,5259487278,5259487279
