osmid,x,y,geometry
1337872379,-117.7071393,34.1066905,POINT (-117.7071393 34.1066905)
1337872429,-117.7093173,34.1064551,POINT (-117.7093173 34.1064551)
1337872446,-117.7060477,34.1066772,POINT (-117.7060477 34.1066772)
1337903715,-117.7123259,34.1067589,POINT (-117.7123259 34.1067589)
1337903727,-117.7124106,34.1067572,POINT (-117.7124106 34.1067572)
1634823949,-117.707156,34.1059136,POINT (-117.707156 34.1059136)
1634823951,-117.71143,34.1062187,POINT (-117.71143 34.1062187)
1634823953,-117.7071518,34.10615,POINT (-117.7071518 34.10615)
1634823989,-117.7114303,34.1059668,POINT (-117.7114303 34.1059668)
2247762350,-117.7071645,34.1055588,POINT (-117.7071645 34.1055588)
2247762359,-117.7079228,34.1056821,POINT (-117.7079228 34.1056821)
2247762374,-117.7076907,34.1057224,POINT (-117.7076907 34.1057224)
2247762377,-117.7078482,34.1059223,POINT (-117.7078482 34.1059223)
2247762378,-117.7079314,34.1059377,POINT (-117.7079314 34.1059377)
2247762380,-117.7083643,34.1059431,POINT (-117.7083643 34.1059431)
2247762382,-117.7085851,34.1059448,POINT (-117.7085851 34.1059448)
2247762384,-117.7088008,34.1059475,POINT (-117.7088008 34.1059475)
2247762386,-117.7090525,34.1059483,POINT (-117.7090525 34.1059483)
2247762388,-117.7091626,34.1059489,POINT (-117.7091626 34.1059489)
2247762390,-117.709414,34.1059417,POINT (-117.709414 34.1059417)
2247762392,-117.7098177,34.1059521,POINT (-117.7098177 34.1059521)
2247762394,-117.7102209,34.1059562,POINT (-117.7102209 34.1059562)
2247762396,-117.708364,34.1061618,POINT (-117.708364 34.1061618)
2247762398,-117.7085847,34.1061645,POINT (-117.7085847 34.1061645)
2247762400,-117.7087938,34.1061671,POINT (-117.7087938 34.1061671)
2247762402,-117.7090477,34.1061703,POINT (-117.7090477 34.1061703)
2247762404,-117.709157,34.1061716,POINT (-117.709157 34.1061716)
2247762406,-117.7097223,34.1061906,POINT (-117.7097223 34.1061906)
2247762408,-117.7098082,34.1061941,POINT (-117.7098082 34.1061941)
2247762410,-117.7099188,34.1061923,POINT (-117.7099188 34.1061923)
4602674435,-117.705666,34.1051383,POINT (-117.705666 34.1051383)
4789170820,-117.710464,34.1059574,POINT (-117.710464 34.1059574)
4789174917,-117.7056423,34.1064767,POINT (-117.7056423 34.1064767)
4803161994,-117.7071558,34.1058332,POINT (-117.7071558 34.1058332)
4803161995,-117.7058947,34.1058177,POINT (-117.7058947 34.1058177)
4803161997,-117.7066766,34.1060867,POINT (-117.7066766 34.1060867)
4803162006,-117.7069553,34.1061018,POINT (-117.7069553 34.1061018)
4803162007,-117.7071537,34.1061004,POINT (-117.7071537 34.1061004)
4803162010,-117.7055376,34.105752,POINT (-117.7055376 34.105752)
4803162011,-117.7070158,34.1055416,POINT (-117.7070158 34.1055416)
4803162012,-117.7065353,34.1055396,POINT (-117.7065353 34.1055396)
4803162013,-117.7063801,34.105539,POINT (-117.7063801 34.105539)
4803162014,-117.7063847,34.1051402,POINT (-117.7063847 34.1051402)
4803162015,-117.7058432,34.1053319,POINT (-117.7058432 34.1053319)
4803162016,-117.705844,34.1051388,POINT (-117.705844 34.1051388)
4829437156,-117.7058913,34.1060701,POINT (-117.7058913 34.1060701)
4829437157,-117.7057934,34.1062495,POINT (-117.7057934 34.1062495)
4829437159,-117.7057836,34.1066725,POINT (-117.7057836 34.1066725)
5035084309,-117.7071615,34.1051532,POINT (-117.7071615 34.1051532)
5257009758,-117.7115232,34.1062388,POINT (-117.7115232 34.1062388)
5257009759,-117.7125747,34.1062522,POINT (-117.7125747 34.1062522)
5257009760,-117.7125747,34.1059368,POINT (-117.7125747 34.1059368)
5257160033,-117.7112716,34.1062162,POINT (-117.7112716 34.1062162)
5257160034,-117.7112776,34.1059654,POINT (-117.7112776 34.1059654)
5257160035,-117.7111047,34.1062136,POINT (-117.7111047 34.1062136)
5257160036,-117.71111,34.1059628,POINT (-117.71111 34.1059628)
5257160037,-117.7109464,34.1062111,POINT (-117.7109464 34.1062111)
5257160038,-117.710947,34.1059608,POINT (-117.710947 34.1059608)
5257160042,-117.710583,34.1062048,POINT (-117.710583 34.1062048)
5257160043,-117.7105736,34.1067217,POINT (-117.7105736 34.1067217)
5257160044,-117.7103443,34.1062003,POINT (-117.7103443 34.1062003)
5257160045,-117.7103362,34.1067206,POINT (-117.7103362 34.1067206)
5257160046,-117.7079293,34.1055488,POINT (-117.7079293 34.1055488)
5257160047,-117.7085922,34.1055576,POINT (-117.7085922 34.1055576)
5257160048,-117.7092464,34.1055633,POINT (-117.7092464 34.1055633)
